lambda,min.num.test.int,min.num.test.con,min.ratio.oc.int,min.ratio.oc.con,min.ratio.ltc.int,min.ratio.ltc.con,min.cost.test.int,min.cost.cons.int,min.cost.eqp.int,min.cost.war.int,min.cost.trn.int,min.cost.cme.int,min.cost.hss.int,min.cost.misc.int,min.cost.fee.int,min.cost.lab.int,min.cost.med.int,min.cost.trv.int,min.cost.food.int,min.cost.chc.int,min.cost.mw.int,min.cost.oth.int,min.cost.test.con,min.cost.cons.con,min.cost.eqp.con,min.cost.war.con,min.cost.trn.con,min.cost.cme.con,min.cost.hss.con,min.cost.misc.con,min.cost.fee.con,min.cost.lab.con,min.cost.med.con,min.cost.trv.con,min.cost.food.con,min.cost.chc.con,min.cost.mw.con,min.cost.oth.con ,max.num.test.int,max.num.test.con,max.ratio.oc.int,max.ratio.oc.con,max.ratio.ltc.int,max.ratio.ltc.con,max.cost.test.int,max.cost.cons.int,max.cost.eqp.int,max.cost.war.int,max.cost.trn.int,max.cost.cme.int,max.cost.hss.int,max.cost.misc.int,max.cost.fee.int,max.cost.lab.int,max.cost.med.int,max.cost.trv.int,max.cost.food.int,max.cost.chc.int,max.cost.mw.int,max.cost.oth.int,max.cost.test.con,max.cost.cons.con,max.cost.eqp.con,max.cost.war.con,max.cost.trn.con,max.cost.cme.con,max.cost.hss.con,max.cost.misc.con,max.cost.fee.con,max.cost.lab.con,max.cost.med.con,max.cost.trv.con,max.cost.food.con,max.cost.chc.con,max.cost.mw.con,max.cost.oth.con ,pe.num.test.int,pe.num.test.con,pe.ratio.oc.int,pe.ratio.oc.con,pe.ratio.ltc.int,pe.ratio.ltc.con,pe.cost.test.int,pe.cost.cons.int,pe.cost.eqp.int,pe.cost.war.int,pe.cost.trn.int,pe.cost.cme.int,pe.cost.hss.int,pe.cost.misc.int,pe.cost.fee.int,pe.cost.lab.int,pe.cost.med.int,pe.cost.trv.int,pe.cost.food.int,pe.cost.chc.int,pe.cost.mw.int,pe.cost.oth.int,pe.cost.test.con,pe.cost.cons.con,pe.cost.eqp.con,pe.cost.war.con,pe.cost.trn.con,pe.cost.cme.con,pe.cost.hss.con,pe.cost.misc.con,pe.cost.fee.con,pe.cost.lab.con,pe.cost.med.con,pe.cost.trv.con,pe.cost.food.con,pe.cost.chc.con,pe.cost.mw.con,pe.cost.oth.con ,alpha.num.test.int,alpha.num.test.con,alpha.ratio.oc.int,alpha.ratio.oc.con,alpha.ratio.ltc.int,alpha.ratio.ltc.con,alpha.cost.test.int,alpha.cost.cons.int,alpha.cost.eqp.int,alpha.cost.war.int,alpha.cost.trn.int,alpha.cost.cme.int,alpha.cost.hss.int,alpha.cost.misc.int,alpha.cost.fee.int,alpha.cost.lab.int,alpha.cost.med.int,alpha.cost.trv.int,alpha.cost.food.int,alpha.cost.chc.int,alpha.cost.mw.int,alpha.cost.oth.int,alpha.cost.test.con,alpha.cost.cons.con,alpha.cost.eqp.con,alpha.cost.war.con,alpha.cost.trn.con,alpha.cost.cme.con,alpha.cost.hss.con,alpha.cost.misc.con,alpha.cost.fee.con,alpha.cost.lab.con,alpha.cost.med.con,alpha.cost.trv.con,alpha.cost.food.con,alpha.cost.chc.con,alpha.cost.mw.con,alpha.cost.oth.con ,beta.num.test.int,beta.num.test.con,beta.ratio.oc.int,beta.ratio.oc.con,beta.ratio.ltc.int,beta.ratio.ltc.con,beta.cost.test.int,beta.cost.cons.int,beta.cost.eqp.int,beta.cost.war.int,beta.cost.trn.int,beta.cost.cme.int,beta.cost.hss.int,beta.cost.misc.int,beta.cost.fee.int,beta.cost.lab.int,beta.cost.med.int,beta.cost.trv.int,beta.cost.food.int,beta.cost.chc.int,beta.cost.mw.int,beta.cost.oth.int,beta.cost.test.con,beta.cost.cons.con,beta.cost.eqp.con,beta.cost.war.con,beta.cost.trn.con,beta.cost.cme.con,beta.cost.hss.con,beta.cost.misc.con,beta.cost.fee.con,beta.cost.lab.con,beta.cost.med.con,beta.cost.trv.con,beta.cost.food.con,beta.cost.chc.con,beta.cost.mw.con,beta.cost.oth.con ,ncp.num.test.int,ncp.num.test.con,ncp.ratio.oc.int,ncp.ratio.oc.con,ncp.ratio.ltc.int,ncp.ratio.ltc.con,ncp.cost.test.int,ncp.cost.cons.int,ncp.cost.eqp.int,ncp.cost.war.int,ncp.cost.trn.int,ncp.cost.cme.int,ncp.cost.hss.int,ncp.cost.misc.int,ncp.cost.fee.int,ncp.cost.lab.int,ncp.cost.med.int,ncp.cost.trv.int,ncp.cost.food.int,ncp.cost.chc.int,ncp.cost.mw.int,ncp.cost.oth.int,ncp.cost.test.con,ncp.cost.cons.con,ncp.cost.eqp.con,ncp.cost.war.con,ncp.cost.trn.con,ncp.cost.cme.con,ncp.cost.hss.con,ncp.cost.misc.con,ncp.cost.fee.con,ncp.cost.lab.con,ncp.cost.med.con,ncp.cost.trv.con,ncp.cost.food.con,ncp.cost.chc.con,ncp.cost.mw.con,ncp.cost.oth.con 
0.1,3,3,0.0945,0.0651,0.0945,0.0955,7.8921,3,53.87325639,35.86125808,0,5.397442864,0,0.430741132,0,0,0,0,0,0,0,0,9.97002,0,9.856606256,7.098765432,0,6.304213265,0,0.706233849,0,0,0,0,0,0,0,0,1.701,1.701,0.0599,0.0386,0.0599,0.0632,7.9079,6.531072604,106.3297779,59.76876347,31.89661965,48.4870284,94.45525013,16.0639478,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,9.954954714,30.91177472,11.83127572,16.99368019,22.66926003,18.89105003,18.35463622,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,2.268,2.268,0.0759,0.0507,0.0759,0.0782,7.9,4.071617238,74.35668277,44.8265726,10.75430417,15.96743514,33.84646463,6.484567524,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,3.05425092,17.03756998,8.87345679,6.372630071,12.31673972,6.769292926,7.293069202,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.885262602,5.682775405,6,6.897819646,10.22978723,6.372093023,5.74710356,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,7.778130521,6.796243487,6,6,6.165475968,6.372093023,6.03803409,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,5,5,0.0945,0.0651,0.0945,0.0955,7.8921,3,30.30370672,20.17195767,0,3.036061611,0,0.242291887,0,0,0,0,0,0,0,0,9.97002,0,5.544341019,3.993055556,0,3.546119962,0,0.517784603,0,0,0,0,0,0,0,0,3.024,3.024,0.0599,0.0386,0.0599,0.0632,7.9079,5.961212273,59.81050005,33.61992945,17.94184855,27.27395347,53.1310782,9.785756411,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,6.64902096,17.38787328,6.655092593,9.558945106,12.75145877,10.62621564,11.79406299,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,4.032,4.032,0.0759,0.0507,0.0759,0.0782,7.9,3.907984997,41.82563406,25.21494709,6.049296098,8.981682266,19.03863635,4.012464977,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,2.350477314,9.583633114,4.991319444,3.584604415,6.928166094,3.807727271,4.749510274,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.783902655,5.682775405,6,6.897819646,10.22978723,6.372093023,5.593920197,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,6.486388172,6.796243487,6,6,6.165475968,6.372093023,5.994099289,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,15,15,0.0945,0.0651,0.0945,0.0955,7.8921,3,10.31615548,6.86704942,0,1.033552889,0,0.082482345,0,0,0,0,0,0,0,0,9.97002,0,1.88743524,1.359338061,0,1.207189774,0,0.357975061,0,0,0,0,0,0,0,0,8.883,8.883,0.0599,0.0386,0.0599,0.0632,7.9079,5.477956855,20.36102129,11.44508237,6.107863338,9.284750119,18.08717556,4.461697455,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,3.845508749,5.91927601,2.265563436,3.254108972,4.340922133,3.617435111,6.23053737,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,11.844,11.844,0.0759,0.0507,0.0759,0.0782,7.9,3.769220877,14.23851372,8.583811775,2.059334842,3.057593963,6.481237908,1.916061904,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,1.753660184,3.262513401,1.699172577,1.220290865,2.358524628,1.296247582,2.592510453,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.664156022,5.682775405,6,6.897819646,10.22978723,6.372093023,5.165026062,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,4.578541472,6.796243487,6,6,6.165475968,6.372093023,5.884272942,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,20,20,0.0945,0.0651,0.0945,0.0955,7.8921,3,7.655673277,5.096073517,0,0.767005039,0,0.061210582,0,0,0,0,0,0,0,0,9.97002,0,1.400675626,1.00877193,0,0.895861885,0,0.336703298,0,0,0,0,0,0,0,0,11.97,11.97,0.0599,0.0386,0.0599,0.0632,7.9079,5.413632195,15.11002106,8.493455862,4.53267753,6.89026193,13.42258818,3.753028147,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,3.472341758,4.392725881,1.68128655,2.414891395,3.221421162,2.684517635,5.489993382,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,15.96,15.96,0.0759,0.0507,0.0759,0.0782,7.9,3.750750406,10.56647597,6.370091896,1.528243225,2.269056573,4.809760763,1.637016062,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,1.674219669,2.421128366,1.260964912,0.905584273,1.75027354,0.961952153,2.305398762,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.644878679,5.682775405,6,6.897819646,10.22978723,6.372093023,5.028439002,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,4.222018214,6.796243487,6,6,6.165475968,6.372093023,5.852850041,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,27,0.0945,0.0651,0.0945,0.0955,7.8921,3,5.594530472,3.724053724,0,0.560503682,0,0.04473081,0,0,0,0,0,0,0,0,9.97002,0,1.02357065,0.737179487,0,0.654668301,0,0.320223526,0,0,0,0,0,0,0,0,16.38,16.38,0.0599,0.0386,0.0599,0.0632,7.9079,5.363798255,11.04193847,6.206756207,3.312341272,5.035191411,9.808814436,3.204004123,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,3.183239859,3.210068913,1.228632479,1.764728327,2.354115465,1.961762887,4.916275238,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,21.84,21.84,0.0759,0.0507,0.0759,0.0782,7.9,3.736440866,7.721655519,4.655067155,1.116793126,1.658156726,3.514825173,1.420832196,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,1.612675095,1.769286113,0.921474359,0.661773123,1.279046048,0.702965035,2.082966078,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.629279272,5.682775405,6,6.897819646,10.22978723,6.372093023,4.887443061,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,3.921663706,6.796243487,6,6,6.165475968,6.372093023,5.821990295,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,49,49,0.0945,0.0651,0.0945,0.0955,7.8921,3,3.094846644,2.060114826,0,0.310065867,0,0.024744703,0,0,0,0,0,0,0,0,9.97002,0,0.566230572,0.407801418,0,0.362156932,0,0.30023742,0,0,0,0,0,0,0,0,29.61,29.61,0.0599,0.0386,0.0599,0.0632,7.9079,5.30336135,6.108306388,3.43352471,1.832359001,2.785425036,5.426152667,2.538166477,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,2.832626918,1.775782803,0.679669031,0.976232692,1.30227664,1.085230533,4.220489403,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,39.48,39.48,0.0759,0.0507,0.0759,0.0782,7.9,3.719086743,4.271554117,2.575143533,0.617800453,0.917278189,1.944371372,1.158651762,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,1.53803593,0.97875402,0.509751773,0.366087259,0.707557388,0.388874274,1.813207292,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.609527805,5.682775405,6,6.897819646,10.22978723,6.372093023,4.649808964,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,3.525150998,6.796243487,6,6,6.165475968,6.372093023,5.773291568,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,80,80,0.0945,0.0651,0.0945,0.0955,7.8921,3,1.913918319,1.274018379,0,0.19175126,0,0.015302645,0,0,0,0,0,0,0,0,9.97002,0,0.350168906,0.252192982,0,0.223965471,0,0.290795362,0,0,0,0,0,0,0,0,47.88,47.88,0.0599,0.0386,0.0599,0.0632,7.9079,5.274809077,3.777505266,2.123363965,1.133169382,1.722565483,3.355647044,2.223604081,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,2.666986468,1.09818147,0.420321637,0.603722849,0.805355291,0.671129409,3.891778551,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,63.84,63.84,0.0759,0.0507,0.0759,0.0782,7.9,3.710888116,2.641618993,1.592522974,0.382060806,0.567264143,1.202440191,1.034789577,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,1.502774069,0.605282091,0.315241228,0.226396068,0.437568385,0.240488038,1.685764858,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.599861189,5.682775405,6,6.897819646,10.22978723,6.372093023,4.498272907,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,3.324126606,6.796243487,6,6,6.165475968,6.372093023,5.744219211,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,102,102,0.0945,0.0651,0.0945,0.0955,7.8921,3,1.490346232,0.992063492,0,0.149314505,0,0.011915994,0,0,0,0,0,0,0,0,9.97002,0,0.272672509,0.196379781,0,0.174399342,0,0.287408711,0,0,0,0,0,0,0,0,61.488,61.488,0.0599,0.0386,0.0599,0.0632,7.9079,5.264568027,2.941500002,1.653439153,0.882385994,1.341341974,2.613003846,2.110777715,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,2.607575012,0.855141309,0.327299636,0.470112054,0.627120923,0.522600769,3.773877457,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,81.984,81.984,0.0759,0.0507,0.0759,0.0782,7.9,3.707947455,2.056998396,1.240079365,0.297506365,0.441722079,0.936326378,0.990363033,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,1.490126443,0.471326219,0.245474727,0.17629202,0.34072948,0.187265276,1.64005416,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.596339439,5.682775405,6,6.897819646,10.22978723,6.372093023,4.435284604,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,3.249705536,6.796243487,6,6,6.165475968,6.372093023,5.732555673,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,156,156,0.0945,0.0651,0.0945,0.0955,7.8921,3,0.978196317,0.65114591,0,0.098003334,0,0.007821123,0,0,0,0,0,0,0,0,9.97002,0,0.178969986,0.128894867,0,0.114467894,0,0.28331384,0,0,0,0,0,0,0,0,93.681,93.681,0.0599,0.0386,0.0599,0.0632,7.9079,5.252185359,1.930668461,1.085243183,0.579158528,0.880396615,1.715058341,1.974356984,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,2.535739372,0.56127634,0.214824778,0.308560434,0.411614002,0.343011668,3.631320766,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,124.908,124.908,0.0759,0.0507,0.0759,0.0782,7.9,3.70439184,1.350121342,0.813932388,0.195269814,0.289926529,0.614562572,0.936645964,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,1.474833932,0.309357357,0.161118583,0.115710163,0.223639524,0.122912514,1.584784394,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.592041945,5.682775405,6,6.897819646,10.22978723,6.372093023,4.351690138,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,3.158016744,6.796243487,6,6,6.165475968,6.372093023,5.717439896,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,202,202,0.0945,0.0651,0.0945,0.0955,7.8921,3,0.75680433,0.503774177,0,0.075822558,0,0.006050994,0,0,0,0,0,0,0,0,9.97002,0,0.138464292,0.099722511,0,0.088560748,0,0.28154371,0,0,0,0,0,0,0,0,121.086,121.086,0.0599,0.0386,0.0599,0.0632,7.9079,5.246832583,1.493706557,0.839623628,0.448079464,0.681139317,1.326894773,1.915385079,7.283633248,25.70694087,11.99657241,15.85347044,6.424490146,2.142245073,3.162817822,2.999143102,9.98998,2.504686286,0.434244494,0.166204185,0.238724956,0.318454745,0.265378955,3.569696409,2.999143102,13.28191945,12.85347044,16.27898029,10.70673522,2.142245073,3.162817822,4.284490146,161.448,161.448,0.0759,0.0507,0.0759,0.0782,7.9,3.70285482,1.044552776,0.629717721,0.151075033,0.224308402,0.475470627,0.913425169,0.615325712,0.656347427,0.770296633,1.187821838,0.742245255,0.054695619,0.723677499,0.255702018,9.98,1.468223291,0.239341514,0.124653139,0.089521858,0.173023919,0.095094125,1.560892399,0.728394485,0.954272805,0.896626938,1.886472696,0.786577082,0.066214848,0.630829263,0.163589624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4875,4.570247934,4.4875,4.46,4,7.590170766,5.682775405,6,6.897819646,10.22978723,6.372093023,4.312723474,33.51111111,115.5,44.72189349,37.90057361,23.85574572,115.5,11.11143911,33.18716578,4,3.117790261,6.796243487,6,6,6.165475968,6.372093023,5.710531291,10.35241273,39.75510204,41.00608167,23.91980157,39.0549888,95.05882353,13.04123861,76.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
